n vDP tDP vGreedy tGreedy %
100 122 0.000000 100 0.000000 81.97
200 210 0.000000 200 0.000000 95.24
300 400 0.000000 300 0.000000 75.00
400 426 0.000000 400 0.001000 93.90
500 1000 0.000000 1000 0.001000 100.00
600 897 0.000000 600 0.000000 66.89
700 959 0.000000 700 0.001000 72.99
800 2400 0.000000 2400 0.000000 100.00
900 1080 0.001000 900 0.000000 83.33
1000 1076 0.000000 1000 0.000000 92.94
1100 1108 0.002000 1100 0.000000 99.28
1200 7200 0.000000 7200 0.001000 100.00
1300 1624 0.000000 1300 0.000000 80.05
1400 2333 0.000000 1400 0.003000 60.01
1500 1600 0.000000 1500 0.003000 93.75
1600 2132 0.000000 1600 0.002000 75.05
1700 1715 0.001000 1700 0.002000 99.13
1800 3000 0.000000 1800 0.002000 60.00
1900 3800 0.002000 3800 0.002000 100.00
2000 3600 0.001000 2000 0.003000 55.56
