n vDP tDP vGreedy tGreedy %
1000 2000 0.001000 2000 0.001000 100.00
2000 6000 0.004000 6000 0.008000 100.00
3000 4000 0.007000 3000 0.017000 75.00
4000 4016 0.009000 4000 0.031000 99.60
5000 7304 0.026000 5000 0.037000 68.46
6000 7712 0.035000 6000 0.063000 77.80
7000 9333 0.050000 7000 0.084000 75.00
8000 28000 0.056000 28000 0.060000 100.00
9000 9946 0.065000 9000 0.147000 90.49
10000 20000 0.084000 20000 0.168000 100.00
11000 18117 0.102000 11000 0.214000 60.72
12000 13000 0.119000 12000 0.271000 92.31
13000 14443 0.134000 13000 0.317000 90.01
14000 21000 0.160000 14000 0.360000 66.67
15000 30000 0.185000 30000 0.408000 100.00
16000 16006 0.210000 16000 0.461000 99.96
17000 27625 0.237000 17000 0.522000 61.54
18000 18003 0.272000 18000 0.588000 99.98
19000 38000 0.292000 38000 0.317000 100.00
20000 33332 0.326000 20000 0.732000 60.00
