n vDP tDP vGreedy tGreedy %
1000 234000 0.000000 234000 0.001000 100.00
2000 1529000 0.003000 1529000 0.004000 100.00
3000 5583000 0.009000 5583000 0.016000 100.00
4000 3472839 0.014000 3472839 0.010000 100.00
5000 22425000 0.021000 22425000 0.045000 100.00
6000 15378000 0.030000 15378000 0.066000 100.00
7000 29246000 0.040000 29246000 0.090000 100.00
8000 50392000 0.052000 50392000 0.116000 100.00
9000 35338500 0.067000 35338500 0.074000 100.00
10000 60160000 0.083000 60160000 0.184000 100.00
11000 58366000 0.099000 58366000 0.225000 100.00
12000 40812000 0.107000 40812000 0.264000 100.00
13000 64428000 0.152000 64428000 0.309000 100.00
14000 101122000 0.176000 101122000 0.357000 100.00
15000 103365000 0.190000 103365000 0.199000 100.00
